at,atgdlast10,atgdlast20,atgdlast5,atwinslast20,atwinslat10,atwinslat5,ht,htgdlast10,htgdlast20,htgdlast5,htwinslast20,htwinslat10,htwinslat5,result,versuslast5
Osasuna,-11.0,-8.0,-7.0,2.0,-1.5,-1.0,Espanol,5.0,5.0,3.0,6.5,4.0,2.0,D,-0.5
La Coruna,15.0,20.0,7.0,6.0,4.0,2.0,Malaga,4.0,4.0,3.0,3.0,2.0,2.0,A,-1.5
Sociedad,8.0,10.0,6.0,4.0,2.5,1.0,Mallorca,7.0,-9.0,7.0,0.0,4.5,2.5,A,-0.5
Villarreal,-9.0,-11.0,-5.0,0.5,0.5,0.0,Valencia,2.0,8.0,0.0,3.0,-1.0,-1.0,A,2.0
Valencia,-3.0,5.0,1.0,2.0,-1.0,0.0,La Coruna,11.0,22.0,8.0,5.5,3.0,1.0,A,1.0
Ath Bilbao,3.0,7.0,6.0,5.0,2.5,2.5,Alaves,-11.0,-15.0,-4.0,-1.0,-2.5,-1.5,A,-2.0
Mallorca,5.0,-7.0,5.0,0.0,4.0,2.0,Barcelona,5.0,8.0,2.0,5.5,4.5,3.0,A,0.5
Malaga,2.0,2.0,0.0,2.5,1.5,2.0,Real Madrid,8.0,20.0,-4.0,7.5,3.0,0.0,H,1.5
Espanol,6.0,7.0,3.0,7.0,5.5,2.0,Valladolid,3.0,3.0,2.0,3.5,3.0,2.0,D,-2.5
Celta,4.0,4.0,3.0,4.0,3.5,2.5,Villarreal,-5.0,-10.0,-6.0,0.0,0.5,-1.0,H,-1.0
La Coruna,9.0,20.0,5.0,4.5,3.0,1.0,Celta,-1.0,2.0,-3.0,4.0,2.0,0.5,H,-1.0
Real Madrid,8.0,23.0,2.0,8.5,4.0,2.0,Valencia,-2.0,4.0,1.0,2.0,-1.5,-1.0,A,-2.0
Osasuna,-8.0,-10.0,-4.0,2.5,0.5,1.5,Vallecano,-14.0,-23.0,-11.0,-2.5,-1.0,-1.0,D,0.0
Alaves,-9.0,-19.0,-5.0,-2.0,-2.5,-0.5,Espanol,4.0,8.0,3.0,8.5,5.0,2.0,H,-2.5
Sociedad,12.0,11.0,8.0,4.0,3.5,2.0,Malaga,-1.0,-1.0,-5.0,2.5,1.5,0.0,A,0.0
Celta,3.0,3.0,-2.0,4.0,4.0,1.5,Real Madrid,6.0,21.0,3.0,7.5,3.0,1.5,D,0.5
