name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Cristian Tello,"0.23,0.23,1.02","0.34,0.00,0.00","0.57,0.23,1.02","0.23,0.23,1.02","4,2,2","2.00,2.17,3.07","0.92,0.69,1.02","6,2,0","0,0,0","785,285,71","935,377,82","9,9,1","647,228,61","129,48,9","46,20,9","2.63,2.29,4.60","0.57,0.00,0.00","29,10,5","18,7,5","44,11,9","230,102,44","63,28,10","30,7,6","0,0,0","30,12,1","5332,2258,431","7,8,3","4,3,1","141,57,14"
Sidnei,"0.05,0.08,0.00","0.00,0.00,0.00","0.05,0.08,0.00","0.05,0.08,0.00","1,1,0","0.46,0.38,0.50","0.10,0.15,0.00","0,0,0","0,0,0","1133,778,120","1271,855,127","6,15,2","858,542,74","269,221,44","10,7,0","0.52,0.54,0.00","0.05,0.08,0.00","48,20,6","26,13,2","41,9,2","217,129,16","73,54,4","28,23,2","8,12,1","15,7,0","6125,3458,487","14,8,1","19,27,4","179,130,24"
Claudio Bravo,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']","0,0,0","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0,0,0","47,101,28","53,132,54","0,0,0","29,60,11","18,41,17","0,0,0","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0,0,0","1,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,1,0","227,283,101","0,0,0","0,0,0","15,11,10"
Joel Robles,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00",,,,,,"147,847,63","186,1152,98","0,5,0","93,474,30","54,368,33","0,3,1","0.00,0.09,0.33","0.00,0.00,0.00","0,0,0","0,0,0","1,2,0","0,4,0","0,0,0","0,0,0","0,0,0","0,0,0","626,2489,222","0,1,0","0,0,0","31,166,16"
Joaquín,"0.32,0.35,0.00","0.00,0.13,0.65","0.32,0.39,0.65","0.32,0.26,0.00","6,8,0","1.33,1.40,0.97","0.64,0.48,0.65","4,5,0","0,2,0","798,935,143","981,1163,182","10,32,3","682,767,113","106,136,27","80,108,15","4.25,4.72,4.87","0.27,0.44,0.65","12,17,2","8,11,1","11,13,4","233,221,26","61,59,7","19,36,5","1,3,0","48,58,5","5852,6570,889","8,11,2","9,16,3","101,121,17"
Antonio Sanabria,"0.35,0.39,0.00","0.00,0.13,0.00","0.35,0.52,0.00","0.35,0.39,0.00","3,6,0","3.41,2.66,2.57","1.17,1.30,1.47","2,2,0","0,0,0","107,290,46","146,379,58","2,13,2","88,231,37","17,46,7","14,35,3","1.64,2.27,1.10","0.00,0.32,0.00","6,13,2","4,10,1","2,11,2","225,308,47","50,80,8","11,14,2","1,1,0","8,25,4","1145,3030,392","19,24,6","29,37,8","33,66,11"
Sergio Canales,"0.24,0.17,0.20","0.07,0.17,0.40","0.24,0.26,0.60","0.17,0.09,0.20","7,6,1","2.14,1.34,2.00","0.78,0.40,0.60","14,4,3","2,3,0","1554,1865,263","1859,2221,327","22,44,6","1253,1410,193","279,411,64","93,138,29","3.15,3.93,5.80","0.34,0.40,1.00","48,30,2","42,25,2","56,37,5","496,379,61","118,85,21","34,44,6","3,3,0","66,48,9","11453,13275,1595","28,27,4","2,6,3","204,233,32"
Guido Rodríguez,"0.13,0.10,0.00","0.07,0.00,0.00","0.20,0.10,0.00","0.13,0.10,0.00","2,1,0","1.41,1.15,1.11","0.33,0.29,0.00","[None, '0', '0']","0,0,0","[None, '443', '179']","[None, '515', '213']","[None, '5', '2']","[None, '316', '131']","[None, '122', '46']","[None, '8', '6']","[None, '0.77', '1.33']","[None, '0.10', '0.00']","[None, '30', '14']","30,21,9","[None, '30', '10']","[None, '182', '99']","[None, '57', '32']","[None, '11', '13']","[None, '4', '2']","[None, '12', '5']","[None, '1638', '540']","24,16,8","[None, '19', '4']","[None, '108', '41']"
Álex Moreno,"0.03,0.00,0.00","0.03,0.16,0.00","0.06,0.16,0.00","0.03,0.00,0.00","1,0,0","0.69,0.99,0.60","0.17,0.32,0.20","0,0,0","0,0,0","1178,1009,253","1545,1285,323","10,33,5","1022,830,211","146,146,37","71,58,5","2.04,2.30,1.00","0.20,0.20,0.00","59,40,10","36,24,4","67,35,11","560,376,74","145,108,20","66,47,5","7,8,3","56,48,4","10930,7542,1083","41,31,5","19,19,7","329,206,75"
Emerson,"0.00,0.10,0.00","0.00,0.19,0.00","0.00,0.29,0.00","0.00,0.10,0.00","0,3,0","0.85,0.73,0.27","0.28,0.13,0.00","0,0,0","0,0,0","164,1288,207","202,1604,257","5,37,3","141,1045,184","18,206,20","8,57,12","2.27,1.81,3.21","0.00,0.25,0.00","13,83,14","10,45,8","8,73,13","71,469,65","21,118,19","11,57,8","0,9,2","1,21,2","709,7272,677","5,46,7","5,65,4","23,236,38"
Aïssa Mandi,"0.03,0.00,0.26","0.03,0.00,0.00","0.06,0.00,0.26","0.03,0.00,0.26","1,0,1","0.18,0.35,0.26","0.09,0.10,0.26","0,0,0","0,0,0","2417,1626,187","2610,1778,212","19,18,1","1862,1086,106","536,522,80","32,17,4","0.94,0.59,1.02","0.06,0.03,0.00","53,33,6","42,16,6","31,33,3","306,175,35","91,54,15","48,46,8","24,19,3","9,6,0","8466,6560,553","56,29,4","37,53,13","289,231,43"
Gerónimo Rulli,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"694,779,673","916,1056,883","1,1,0","348,387,277","345,391,396","1,3,7","0.04,0.11,0.28","0.00,0.00,0.04","0,0,0","0,0,0","5,3,1","3,3,2","1,0,0","1,2,1","0,0,0","0,0,0","2980,2609,2156","0,1,2","0,0,0","128,136,141"
Nabil Fekir,"0.41,0.24,0.24","0.32,0.14,0.47","0.54,0.34,0.47","0.23,0.20,0.00","9,7,1","3.85,3.45,3.08","1.72,1.36,0.71","17,8,1","4,1,1","893,839,143","1088,1034,166","26,27,6","722,673,121","145,139,16","122,111,18","5.52,3.79,4.26","0.63,0.38,0.24","40,43,6","26,26,6","42,31,3","690,598,97","155,146,24","36,36,5","1,5,0","52,84,10","6976,9024,1116","44,69,14","10,26,4","114,158,24"
William Carvalho,"0.00,0.00,0.55","0.19,0.00,0.00","0.19,0.00,0.55","0.00,0.00,0.55","0,0,2","0.38,0.61,1.91","0.08,0.20,1.09","0,0,0","0,0,0","1704,564,198","1911,634,237","24,14,1","1333,422,169","347,128,28","57,13,3","2.15,1.31,0.82","0.34,0.10,0.00","43,10,5","32,7,4","34,12,3","253,105,38","64,28,11","11,13,0","2,5,0","41,15,5","7489,2355,637","24,17,2","34,17,6","257,84,35"
José Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Baena,"['0.00', None]","['0.00', None]","['0.00', None]","['0.00', None]",,,,,,4,4,0,4,0,1,6.00,0.00,1,0,1,4,0,0,0,0,10,0,0,0
Fernando Niño,"1.08,0.00","0.00,0.00","1.08,0.00","1.08,0.00","1,0","1.08,90.00","1.08,90.00","0,0","0,0","13,1","21,1","2,1","11,0","0,0","1,0","1.08,0.00","0.00,0.00","3,0","1,0","1,0","14,0","4,0","0,1","0,1","2,0","135,3","7,0","0,0","1,0"
Quini,"['0.04', '0.00', None]","['0.00', '0.00', None]","['0.04', '0.00', None]","['0.04', '0.00', None]","0,1,0","['0.00', None, '1.25']","['0.00', None, '0.00']","[None, None, '0']","0,0,0","[None, None, '230']","[None, None, '298']","[None, None, '7']","[None, None, '185']","[None, None, '38']","[None, None, '12']","[None, None, '1.50']","[None, None, '0.00']","[None, None, '25']","['0', None, '12']","[None, None, '18']","[None, None, '112']","[None, None, '37']","[None, None, '12']","[None, None, '1']","[None, None, '6']","[None, None, '1643']","['10', None, '8']","[None, None, '8']","[None, None, '79']"
Dani Raba,"['0.00', '0.27', None]","['0.47', '0.07', None]","['0.47', '0.27', None]","['0.00', '0.20', None]","2,0,4","1.78,0.94,2.01","0.57,0.00,0.87","['1', '0', None]","0,0,1","['376', '71', None]","['513', '96', None]","['6', '2', None]","['277', '53', None]","['93', '16', None]","['42', '6', None]","['3.40', '2.83', None]","['0.32', '0.47', None]","['21', '5', None]","14,1,17","['40', '7', None]","['308', '31', None]","['70', '6', None]","['26', '2', None]","['1', '0', None]","['19', '0', None]","['3448', '437', None]","24,5,30","['4', '1', None]","['95', '17', None]"
Aarón Escandell,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"[None, '77']","[None, '128']","[None, '0']","[None, '33']","[None, '44']","[None, '2']","[None, '0.67']","[None, '0.00']","[None, '0']","[None, '0']","[None, '0']","[None, '1']","[None, '0']","[None, '0']","[None, '0']","[None, '0']","[None, '425']","[None, '0']","[None, '0']","[None, '38']"
João Paulo Santos Costa,"['0.00', None, None]","['0.00', None, None]","['0.00', None, None]","['0.00', None, None]",,,,,,,,,,,,,,,,,,,,,,,0,[None],[None]
Javier Ontiveros,"['0.20', None, '0.00']","['0.10', None, '0.00']","['0.30', None, '0.00']","['0.20', None, '0.00']","4,2,0","[None, '4.96', '4.29']","[None, '1.82', '1.07']","[None, '9', '0']","0,0,0","[None, '368', '30']","[None, '479', '39']","[None, '5', '1']","[None, '308', '24']","[None, '55', '5']","[None, '32', '4']","[None, '3.24', '4.29']","[None, '0.40', '0.00']","[None, '34', '2']","[None, '22', '1']","[None, '38', '3']","[None, '271', '21']","[None, '68', '2']","[None, '14', '1']","[None, '1', '0']","[None, '29', '4']","[None, '4189', '268']","[None, '20', '3']","[None, '5', '0']","[None, '87', '7']"
Igor Zubeldia,"0.00,0.00,0.00","0.04,0.03,0.00","0.04,0.03,0.00","0.00,0.00,0.00","0,0,0","0.56,0.48,1.00","0.14,0.03,0.00","0,0,0","0,0,0","1067,1467,39","1232,1670,46","15,13,0","784,1047,26","268,407,13","12,12,0","0.42,0.41,0.00","0.11,0.03,0.00","58,57,2","48,37,1","56,30,0","604,371,10","154,108,2","42,58,2","9,25,0","37,23,1","6447,8333,172","37,51,2","59,56,2","321,319,8"
Antonio Cortés,"['0.50', None, '4.50']","['0.00', None, '0.00']","['0.50', None, '4.50']","['0.50', None, '4.50']","4,1,1","1.79,1.49,4.50","0.63,0.99,4.50","[None, '0', None]","0,0,0","[None, '19', None]","[None, '38', None]","[None, '2', None]","[None, '16', None]","[None, '1', None]","[None, '5', None]","[None, '2.49', None]","[None, '0.00', None]","[None, '3', None]","13,3,1","[None, '1', None]","[None, '41', None]","[None, '12', None]","[None, '2', None]","[None, '0', None]","[None, '4', None]","[None, '344', None]","32,6,0","[None, '4', None]","[None, '12', None]"
Luis Javier Suárez,"0.28,0.53,0.00","0.04,0.11,0.00","0.31,0.56,0.00","0.28,0.45,0.00","7,19,0","[None, '3.01', '0.00']","[None, '1.29', '0.00']","[None, None, '0']","0,3,0","[None, None, '2']","[None, None, '4']","[None, None, '0']","[None, None, '2']","[None, None, '0']","[None, None, '0']","[None, None, '0.00']","[None, None, '0.00']","[None, None, '1']","[None, '17', '1']","[None, None, '0']","[None, None, '3']","[None, None, '1']","[None, None, '0']","[None, None, '0']","[None, None, '0']","[None, None, '22']","[None, '57', '0']","[None, None, '1']","[None, None, '1']"
Yan Brice Eteki,"0.00,0.00,0.00","0.04,0.00,0.00","0.04,0.00,0.00","0.00,0.00,0.00","0,0,0","[None, '0.42', '0.00']","[None, '0.00', '0.00']","[None, '0', '0']","0,0,0","[None, '338', '3']","[None, '427', '3']","[None, '14', '0']","[None, '254', '3']","[None, '70', '0']","[None, '14', '0']","[None, '0.84', '0.00']","[None, '0.12', '0.00']","[None, '33', '0']","[None, '19', '0']","[None, '28', '1']","[None, '406', '12']","[None, '95', '1']","[None, '24', '0']","[None, '4', '0']","[None, '13', '0']","[None, '1656', '6']","[None, '51', '1']","[None, '25', '0']","[None, '178', '1']"
Roberto López,"0.00,0.00,1.58","0.00,3.75,0.00","0.00,3.75,1.58","0.00,0.00,1.58","0,0,2","0.00,0.00,3.95","0.00,0.00,1.58","0,0,2","0,0,0","3,24,44","5,33,68","1,0,2","2,20,34","0,4,8","0,3,1","0.00,11.25,0.79","0.00,7.50,0.00","0,0,3","0,0,2","1,0,1","5,6,13","2,1,4","1,1,1","0,0,0","0,2,0","17,142,128","1,0,0","1,3,4","2,5,18"
Iñigo Martínez,"0.00,0.03,0.00","0.00,0.03,0.00","0.00,0.06,0.00","0.00,0.03,0.00","0,1,0","0.74,0.82,0.50","0.16,0.12,0.25","2,4,0","0,0,0","1113,1190,179","1404,1500,228","3,4,1","665,706,99","445,480,79","12,23,2","0.37,0.70,0.50","0.03,0.09,0.00","49,55,5","30,31,2","32,38,1","238,249,34","88,90,13","40,43,4","14,16,0","4,8,1","6517,7325,1153","38,30,8","77,101,20","344,351,54"
Martín Zubimendi,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0.00,0.61,0.00","0.00,0.00,0.00","0,0,0","0,0,0","2,365,82","4,420,89","0,10,2","1,278,60","1,77,20","1,10,3","12.86,1.57,1.61","0.00,0.00,0.54","1,18,3","0,13,3","0,16,0","5,140,20","1,44,8","0,8,2","0,0,0","0,3,0","25,2099,492","0,9,5","0,18,4","3,89,18"
Ander Guevara,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","3.00,0.29,0.45","0.00,0.00,0.00","0,0,0","0,0,0","43,585,101","44,680,124","2,4,1","31,469,77","10,112,23","1,16,2","1.00,1.53,0.91","0.00,0.00,0.00","5,30,6","3,18,4","7,24,4","32,216,25","12,62,10","2,13,2","0,1,0","2,10,0","202,3003,449","2,27,2","1,14,6","13,142,30"
Ander Barrenetxea,"0.23,0.00,0.00","0.00,0.00,0.00","0.23,0.00,0.00","0.23,0.00,0.00","1,0,0","1.13,3.05,1.14","0.45,1.02,0.38","0,0,0","0,0,0","87,139,50","115,191,71","1,3,3","80,116,40","6,20,7","15,19,6","3.38,3.87,2.28","0.45,0.00,0.38","8,11,5","6,6,4","8,9,2","115,128,43","26,39,14","11,5,8","0,0,0","21,22,8","1368,1884,656","12,14,8","1,7,3","31,32,18"
Adnan Januzaj,"0.07,0.23,0.76","0.22,0.23,0.00","0.29,0.46,0.00","0.07,0.23,0.00","1,3,1","2.37,1.93,3.78","0.50,0.62,1.51","5,4,2","0,0,1","367,323,49","553,496,69","3,3,3","278,243,39","86,77,7","59,54,9","4.23,4.16,6.81","0.50,0.46,0.76","13,9,3","11,4,1","11,19,2","198,174,17","51,43,4","13,10,0","1,0,0","65,34,7","5916,3902,472","16,25,0","1,7,1","72,59,8"
Diego Llorente,"['0.04', '0.00', None]","['0.04', '0.00', None]","['0.08', '0.00', None]","['0.04', '0.00', None]","0,1,0","0.36,0.39,0.00","0.05,0.15,0.00","1,0,0","0,0,0","931,1410,48","1091,1598,54","0,8,0","582,926,31","349,476,17","8,14,0","0.41,0.54,0.00","0.00,0.08,0.00","33,32,1","24,21,0","34,29,1","164,205,7","62,76,2","32,30,1","15,9,1","5,6,0","5906,8382,246","20,21,2","49,63,2","189,301,6"
Aihen Muñoz,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0.19,0.00,1.00","0.00,0.00,0.33","0,0,0","0,0,0","387,508,94","521,656,138","3,8,0","311,428,74","73,72,20","12,8,1","1.14,0.73,0.33","0.00,0.09,0.00","17,24,7","11,9,5","15,24,6","159,134,28","39,55,9","30,19,7","7,2,1","12,6,5","2082,2061,381","6,7,5","16,17,3","81,89,34"
Nacho Monreal,"0.00,0.08,0.00","0.00,0.00,0.00","0.00,0.08,0.00","0.00,0.08,0.00","0,2,0","0.33,0.60,0.50","0.00,0.19,0.00","0,0,0","0,0,0","182,1136,95","201,1381,120","4,16,2","167,993,75","11,127,18","4,28,0","1.33,1.05,0.00","0.00,0.04,0.00","4,40,2","4,24,0","3,53,1","34,304,16","10,81,8","3,58,1","1,6,1","1,10,1","622,4047,209","1,35,1","7,61,6","17,196,22"
Andoni Gorosabel,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0.40,0.13,0.42","0.00,0.13,0.00","0,0,0","0,0,0","229,343,199","283,446,259","0,5,4","204,288,167","25,50,28","7,13,15","1.38,1.64,3.12","0.00,0.00,0.21","17,18,13","5,9,8","13,24,15","93,109,61","14,36,15","9,14,5","1,0,1","1,5,3","1036,1502,969","5,10,9","3,11,2","47,74,39"
Mikel Oyarzabal,"0.37,0.29,0.32","0.06,0.32,0.32","0.34,0.50,0.32","0.29,0.18,0.00","13,10,1","1.66,1.68,2.57","0.66,0.53,0.32","0,0,0","3,4,1","733,828,97","1010,1154,138","16,31,2","613,658,74","104,139,21","95,87,12","2.71,2.57,3.86","0.49,0.47,0.96","31,35,7","22,21,6","58,47,9","764,434,57","181,131,22","75,54,4","7,5,0","65,61,5","7752,7315,570","32,32,4","33,45,1","192,224,21"
Robin Le Normand,"0.00,0.04,0.00","0.32,0.00,0.00","0.32,0.04,0.00","0.00,0.04,0.00","0,1,0","1.58,0.45,0.75","0.00,0.08,0.25","0,0,0","0,0,0","200,1516,180","223,1695,205","1,11,3","121,1074,107","78,431,70","3,10,0","0.95,0.38,0.00","0.32,0.04,0.00","6,46,4","4,27,2","5,36,1","19,189,20","3,83,5","5,22,6","0,7,2","2,0,0","1207,8086,749","3,28,6","9,91,18","36,272,46"
David Silva,"0.22,0.30,0.00","0.30,0.49,0.00","0.52,0.79,0.00","0.22,0.30,0.00","6,6,0","1.87,2.27,1.42","0.67,0.84,0.00","4,5,1","0,0,0","1783,1319,135","2083,1513,155","17,30,3","1532,1113,103","234,176,29","142,108,13","5.32,5.32,4.61","0.71,0.84,0.35","27,26,4","22,16,3","27,25,3","456,302,41","128,96,14","24,21,4","3,4,0","27,34,1","8886,6624,571","26,20,8","17,8,4","215,164,29"
Alexander Isak,"0.86,0.54,0.00","0.40,0.06,0.00","0.99,0.60,0.00","0.59,0.54,0.00","13,9,0","[None, '2.63', '2.87']","[None, '1.31', '0.78']","[None, '1', '0']","4,0,0","[None, '222', '55']","[None, '304', '71']","[None, '13', '3']","[None, '189', '44']","[None, '20', '8']","[None, '32', '3']","[None, '1.91', '0.78']","[None, '0.24', '0.00']","[None, '9', '2']","[None, '7', '1']","[None, '10', '0']","[None, '259', '38']","[None, '74', '9']","[None, '10', '1']","[None, '1', '0']","[None, '24', '1']","[None, '2749', '333']","[None, '22', '0']","[None, '21', '6']","[None, '50', '13']"
Portu,"0.29,0.26,0.50","0.06,0.26,0.00","0.32,0.53,0.50","0.26,0.26,0.50","9,7,2","1.37,1.50,0.75","0.61,0.56,0.50","0,0,0","1,0,0","508,456,56","719,664,92","7,17,5","437,384,47","64,55,4","69,69,11","2.20,2.60,2.75","0.22,0.41,0.50","30,38,4","20,23,2","38,46,1","574,435,42","132,112,9","32,39,3","1,3,0","35,10,4","5865,3862,513","26,31,7","21,19,5","128,121,20"
Aimar Oroz,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"[None, '5']","[None, '5']","[None, '0']","[None, '4']","[None, '1']","[None, '1']","[None, '8.18']","[None, '0.00']","[None, '0']","[None, '0']","[None, '0']","[None, '7']","[None, '2']","[None, '1']","[None, '0']","[None, '0']","[None, '19']","[None, '2']","[None, '0']","[None, '1']"
Gorka Zabarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Pérez,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"[None, '36']","[None, '66']","[None, '0']","[None, '11']","[None, '25']","[None, '0']","[None, '0.00']","[None, '0.00']","[None, '0']","[None, '0']","[None, '1']","[None, '2']","[None, '0']","[None, '0']","[None, '0']","[None, '0']","[None, '222']","[None, '0']","[None, '0']","[None, '15']"
Mikel Merino,"0.13,0.14,0.20","0.13,0.03,0.40","0.26,0.17,0.60","0.13,0.14,0.20","3,5,1","1.05,1.26,2.00","0.44,0.40,0.80","0,1,0","0,0,0","883,1519,184","1113,1974,255","18,37,6","677,1197,149","188,285,29","40,76,10","1.75,2.18,2.00","0.26,0.23,0.40","48,82,12","38,63,9","59,81,8","656,668,75","138,202,27","41,58,11","4,6,3","27,34,6","4847,7319,899","70,76,16","54,158,27","227,410,57"
Álex Remiro,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0', '0']","[None, '0.04', '0.00']","[None, '0.00', '0.00']","[None, '0', '0']","[None, '0', '0']","[None, '683', '99']","[None, '910', '125']","[None, '1', '0']","[None, '358', '50']","[None, '324', '49']","[None, '4', '0']","[None, '0.16', '0.00']","[None, '0.00', '0.00']","[None, '0', '0']","[None, '0', '0']","[None, '1', '0']","[None, '1', '1']","[None, '0', '0']","[None, '0', '0']","[None, '0', '0']","[None, '1', '0']","[None, '2397', '292']","[None, '0', '0']","[None, '0', '0']","[None, '109', '24']"
Javi Martínez,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"[None, '4']","[None, '5']","[None, '0']","[None, '4']","[None, '0']","[None, '1']","[None, '9.00']","[None, '0.00']","[None, '0']","[None, '0']","[None, '0']","[None, '1']","[None, '1']","[None, '0']","[None, '0']","[None, '0']","[None, '58']","[None, '0']","[None, '1']","[None, '1']"
Javier Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubén,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]",,,,,,"['296', None, '269']","['514', None, '525']","['4', None, '0']","['96', None, '62']","['196', None, '207']","['2', None, '2']","['0.07', None, '0.11']","['0.00', None, '0.00']","['0', None, '0']","['0', None, '0']","['1', None, '0']","['1', None, '1']","['0', None, '1']","['0', None, '0']","['0', None, '0']","['0', None, '2']","['1638', None, '1618']","['0', None, '0']","['0', None, '0']","['95', None, '100']"
Sofian Chakla,"[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0.00', '0.00']","[None, '0', '0']","[None, '0.50', '6.92']","[None, '0.00', '0.00']","[None, '0', '0']","[None, '0', '0']","[None, '79', '4']","[None, '95', '7']","[None, '1', '0']","[None, '44', '2']","[None, '34', '2']","[None, '1', '0']","[None, '0.50', '0.00']","[None, '0.50', '0.00']","[None, '0', '0']","[None, '0', '0']","[None, '1', '0']","[None, '11', '0']","[None, '5', '0']","[None, '1', '0']","[None, '1', '0']","[None, '0', '0']","[None, '235', '11']","[None, '3', '0']","[None, '2', '2']","[None, '22', '2']"
Asier Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cardona,"0.45,0.13,0.00","0.15,0.26,0.00","0.60,0.38,0.00","0.45,0.13,0.00","3,1,0","2.53,1.66,1.70","1.19,0.51,1.70","0,0,0","0,0,0","128,135,17","179,184,28","4,3,1","113,120,16","11,12,0","11,15,0","1.64,1.91,0.00","0.30,0.38,0.00","11,2,0","7,2,0","9,7,1","189,150,9","51,47,2","9,7,1","0,0,0","10,10,1","1142,1350,74","9,8,3","16,9,0","35,30,7"
Fede San Emeterio,"0.06,0.00,0.00","0.03,0.00,0.00","0.09,0.00,0.00","0.06,0.00,0.00","2,0,0","[None, '0.15', '0.43']","[None, '0.05', '0.00']","[None, '0', '0']","0,0,0","[None, '558', '124']","[None, '683', '159']","[None, '12', '3']","[None, '421', '97']","[None, '125', '24']","[None, '16', '1']","[None, '0.82', '0.21']","[None, '0.05', '0.00']","[None, '27', '7']","[None, '17', '3']","[None, '46', '12']","[None, '401', '82']","[None, '108', '32']","[None, '32', '9']","[None, '7', '0']","[None, '2', '1']","[None, '1520', '290']","[None, '32', '8']","[None, '32', '6']","[None, '193', '51']"
Marc Bartra,"0.03,0.11,0.00","0.00,0.04,0.00","0.03,0.14,0.00","0.03,0.11,0.00","1,3,0","0.31,0.75,0.80","0.09,0.18,0.60","1,0,0","0,0,0","1993,1422,196","2254,1637,242","15,21,3","1424,943,138","554,458,55","19,12,2","0.58,0.43,0.40","0.00,0.04,0.00","86,62,8","55,37,5","67,37,7","393,339,69","123,112,21","60,59,10","23,27,2","15,13,3","11135,6492,641","30,34,12","54,111,14","316,303,55"
Takefusa Kubo,"0.35,0.16,0.00","0.26,0.16,0.00","0.62,0.31,0.00","0.35,0.16,0.00","4,4,0","2.03,2.10,6.10","0.71,0.97,4.58","[None, '6', '0']","0,0,0","[None, '539', '19']","[None, '764', '26']","[None, '14', '1']","[None, '469', '18']","[None, '56', '0']","[None, '89', '3']","[None, '3.46', '4.58']","[None, '0.70', '0.00']","[None, '35', '3']","14,25,1","[None, '50', '2']","[None, '492', '15']","[None, '126', '4']","[None, '32', '0']","[None, '1', '0']","[None, '72', '5']","[None, '7666', '417']","17,35,2","[None, '9', '0']","[None, '148', '10']"
Carlos Bacca,"0.43,0.26,0.00","0.07,0.13,0.00","0.43,0.39,0.00","0.35,0.26,0.00","6,2,0","2.13,2.22,0.00","0.99,0.78,0.00","0,0,0","1,0,0","192,101,6","274,133,8","7,0,0","158,88,4","27,13,2","40,12,1","2.83,1.57,6.00","0.28,0.26,0.00","6,3,0","5,1,0","10,7,0","176,84,4","28,21,1","5,5,0","0,0,0","10,6,0","1648,664,17","19,8,1","15,7,1","55,26,0"
Ramiro Funes Mori,"0.07,0.00,0.00","0.03,0.00,0.00","0.10,0.00,0.00","0.07,0.00,0.00","2,0,0","0.89,0.60,0.00","0.21,0.00,0.00","0,0,0","0,0,0","995,224,7","1211,270,7","5,1,0","606,135,4","384,88,3","20,4,0","0.69,0.79,0.00","0.07,0.00,0.00","43,4,0","26,1,0","49,2,0","312,34,1","92,11,0","45,8,0","23,3,0","15,1,0","6083,1537,31","32,7,0","59,11,1","315,56,4"
Jaume Costa,"0.06,0.00,0.00","0.00,0.06,0.00","0.06,0.06,0.00","0.06,0.00,0.00","1,0,0","0.78,0.13,0.00","0.12,0.06,0.00","0,0,0","0,0,0","781,672,6","964,818,11","6,4,0","636,562,4","139,106,2","28,18,0","1.69,1.17,0.00","0.18,0.00,0.00","33,26,0","17,18,0","28,28,0","167,149,0","42,39,0","34,37,0","2,6,0","10,12,1","3474,3065,88","20,20,0","17,18,0","136,98,3"
Rubén Peña,"0.03,0.09,0.00","0.07,0.09,0.00","0.10,0.19,0.00","0.03,0.09,0.00","1,2,0","0.67,0.28,0.00","0.17,0.14,0.00","0,0,0","0,0,0","1312,1027,48","1930,1313,63","13,15,0","965,801,45","334,211,3","76,29,0","2.56,1.37,0.00","0.20,0.19,0.00","73,48,2","46,32,1","69,53,2","484,400,12","174,111,2","61,51,3","8,8,0","62,22,2","9379,5392,303","24,39,1","14,20,0","392,205,9"
Alfonso Pedraza,"0.13,0.07,0.00","0.13,0.00,0.00","0.26,0.07,0.00","0.13,0.07,0.00","3,1,0","1.46,1.00,0.00","0.60,0.47,0.00","0,0,0","0,0,0","726,595,77","992,770,92","14,8,0","624,503,66","88,84,11","43,26,4","1.85,1.73,2.45","0.30,0.00,0.00","65,33,1","41,20,1","86,32,2","527,195,9","128,63,5","57,38,6","8,6,0","40,20,0","5792,3764,534","42,18,2","20,17,4","149,118,17"
