name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Rober,"0.03,0.00,0.00","0.00,0.00,0.00","0.03,0.00,0.00","0.03,0.00,0.00","1,0,0","0.22,0.00,0.00","0.03,0.00,0.00","0,0,0","0,0,0","899,80,43","1097,93,48","9,0,1","639,51,26","251,29,16","16,2,0","0.50,0.94,0.00","0.00,0.00,0.00","47,3,0","35,2,0","56,2,0","308,25,7","103,7,0","59,0,2","31,0,1","13,2,0","4839,438,157","28,1,1","47,4,3","322,19,13"
Sergio Postigo,"0.06,0.04,0.00","0.06,0.04,0.00","0.12,0.08,0.00","0.06,0.04,0.00","1,1,0","0.06,0.27,0.00","0.06,0.11,0.00","0,0,0","0,0,0","392,842,69","495,1017,85","4,8,1","253,547,39","135,287,29","7,11,0","0.43,0.42,0.00","0.06,0.08,0.00","26,32,2","16,21,1","27,22,3","70,213,15","28,67,5","26,29,4","14,14,2","2,5,2","1942,4380,235","12,22,2","14,35,3","150,216,25"
Mickael Malsa,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","[None, '0.77', '0.49']","[None, '0.15', '0.00']","[None, None, '0']","0,0,0","[None, None, '76']","[None, None, '84']","[None, None, '2']","[None, None, '64']","[None, None, '10']","[None, None, '2']","[None, None, '0.97']","[None, None, '0.00']","[None, None, '3']","[None, '35', '1']","[None, None, '3']","[None, None, '36']","[None, None, '6']","[None, None, '4']","[None, None, '2']","[None, None, '2']","[None, None, '278']","[None, '45', '3']","[None, None, '3']","[None, None, '19']"
Roger Martí,"0.62,0.44,0.95","0.00,0.04,0.95","0.52,0.32,1.89","0.52,0.28,0.95","13,11,1","3.24,2.10,0.95","1.29,0.79,0.95","0,0,0","2,4,0","268,284,9","385,448,20","6,12,0","218,232,6","44,40,3","32,39,1","1.53,1.55,0.95","0.10,0.16,0.95","10,20,1","8,11,1","23,23,1","373,451,15","74,85,3","16,20,0","4,2,0","18,12,0","2218,2216,92","38,57,1","13,31,1","79,88,4"
Nemanja Radoja,"[None, '0.05', '0.00']","[None, '0.00', '0.00']","[None, '0.05', '0.00']","[None, '0.05', '0.00']","[None, '1', '0']","[None, '0.14', '1.07']","[None, '0.09', '0.00']","[None, '0', '0']","[None, '0', '0']","[None, '838', '99']","[None, '949', '110']","[None, '12', '2']","[None, '635', '82']","[None, '191', '15']","[None, '20', '2']","[None, '0.90', '1.07']","[None, '0.14', '0.00']","[None, '36', '3']","[None, '22', '3']","[None, '49', '4']","[None, '323', '28']","[None, '85', '9']","[None, '33', '1']","[None, '5', '0']","[None, '30', '1']","[None, '4670', '587']","[None, '28', '6']","[None, '43', '3']","[None, '212', '17']"
Óscar Duarte,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0.27,0.74,0.00","0.14,0.19,0.00","0,0,0","0,0,0","300,190,58","342,221,70","3,0,1","199,106,39","98,84,18","4,4,2","0.55,0.74,1.03","0.00,0.19,0.00","12,11,0","5,7,0","8,3,2","52,49,16","11,19,3","10,11,1","9,6,1","0,1,0","1309,908,269","8,10,5","20,13,4","77,38,10"
Pablo Martínez,"['0.00', None, '1.58']","['0.00', None, '0.00']","['0.00', None, '1.58']","['0.00', None, '1.58']","[None, '0', '1']","[None, '2.73', '4.74']","[None, '0.00', '3.16']","[None, '1', None]","[None, '0', '0']","[None, '14', None]","[None, '18', None]","[None, '0', None]","[None, '13', None]","[None, '1', None]","[None, '1', None]","[None, '2.73', None]","[None, '0.00', None]","[None, '2', None]","[None, '2', '0']","[None, '1', None]","[None, '25', None]","[None, '6', None]","[None, '1', None]","[None, '1', None]","[None, '0', None]","[None, '119', None]","[None, '1', '2']","[None, '0', None]","[None, '8', None]"
Dani Cárdenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koke Vegas,"[None, '0.00', None]","[None, '0.00', None]","[None, '0.00', None]","[None, '0.00', None]",,,,,,"11,18,43","23,22,63","0,0,0","4,10,30","7,8,13","0,0,0","0.00,0.00,0.00","0.00,0.00,0.00","0,0,0","0,0,0","0,0,1","0,0,1","0,0,0","0,0,0","0,0,0","0,0,0","74,25,105","1,0,0","0,0,0","3,2,10"
Dani Gómez,"0.33,0.00","0.04,0.00","0.37,0.00","0.33,0.00","9,0","2.68,1.53","1.03,0.00","[None, '0']","0,0","[None, '9']","[None, '13']","[None, '1']","[None, '6']","[None, '2']","[None, '1']","[None, '1.53']","[None, '0.00']","[None, '0']","7,0","[None, '0']","[None, '12']","[None, '3']","[None, '0']","[None, '0']","[None, '1']","[None, '97']","54,1","[None, '1']","[None, '6']"
