name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Manu García,0.00,0.00,0.00,0.00,0,0.92,0.32,0,0,521,710,11,403,107,9,0.41,0.00,51,38,71,477,147,33,10,10,2144,60,59,241
Javi López,0.00,0.00,0.00,0.00,,,,,,7,11,0,2,5,1,1.84,0.00,1,1,0,17,4,1,0,0,134,3,0,3
Abdallahi Mahmoud,0.00,0.00,0.00,0.00,,,,,,3,6,1,1,1,0,0.00,0.00,2,1,1,11,2,0,0,0,11,0,1,2
John Guidetti,0.00,0.00,0.00,0.00,0,1.87,0.00,0,0,3,5,0,3,0,1,3.21,0.00,0,2,0,6,0,0,0,0,12,0,1,1
Borja Sainz,0.00,0.00,0.00,0.00,0,2.07,1.03,0,0,25,31,3,18,4,2,2.07,0.00,1,0,4,29,8,2,0,3,383,2,0,12
Luis Rioja,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,60,95,1,56,3,3,1.18,0.00,3,2,3,36,9,3,0,0,427,3,0,17
Rodrigo Ely,0.08,0.00,0.08,0.08,2,0.25,0.13,0,0,667,839,4,380,283,2,0.08,0.00,27,16,27,160,49,38,20,4,2576,34,81,268
Lucas Pérez,0.40,0.18,0.40,0.22,11,1.55,0.50,4,5,448,705,19,327,102,91,3.28,0.32,12,10,19,391,107,13,1,21,3612,27,11,116
Tomás Pina Isla,0.07,0.00,0.07,0.07,1,0.13,0.07,0,0,419,525,13,337,69,10,0.67,0.07,34,21,20,231,63,18,5,9,1605,44,45,174
Florian Lejeune,0.41,0.00,0.41,0.41,2,0.25,0.00,1,0,110,151,1,60,49,2,0.50,0.00,11,7,8,43,16,6,2,0,409,6,11,50
Ximo Navarro,0.00,0.00,0.00,0.00,0,0.33,0.05,0,0,643,848,15,503,125,6,0.28,0.00,47,27,29,269,81,49,9,14,3396,29,37,229
Deyverson,0.00,0.44,0.44,0.00,0,1.76,0.44,0,0,46,107,1,35,10,7,2.07,0.59,2,0,3,67,20,8,0,2,263,7,18,31
Édgar Méndez,0.10,0.00,0.10,0.10,1,0.94,0.42,0,0,58,101,0,47,11,2,0.42,0.21,10,8,9,78,20,6,1,4,618,22,13,27
Joselu,0.36,0.06,0.39,0.32,11,2.62,0.91,1,1,541,995,24,424,93,58,1.88,0.42,25,16,31,543,143,39,6,12,2232,51,266,177
Oriol Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Víctor Laguardia,0.03,0.07,0.10,0.03,1,0.27,0.03,0,0,774,1026,9,403,362,15,0.51,0.10,25,17,33,214,55,45,16,3,3139,36,60,298
Rodrigo Battaglia,0.00,0.00,0.00,0.00,0,1.17,0.21,,0,,,,,,,,,,9,,,,,,,,21,,
Rubén Duarte,0.00,0.03,0.03,0.00,0,0.68,0.27,0,0,933,1310,14,745,174,36,1.22,0.20,69,38,55,348,104,62,9,4,3688,45,58,289
Sergio López Galache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luismi,0.00,0.00,0.00,0.00,1,0.88,0.27,,0,,,,,,,,,,17,,,,,,,,29,,
Pere Pons,0.08,0.08,0.17,0.08,1,0.33,0.08,0,0,280,378,7,228,45,10,0.83,0.17,25,20,15,248,65,18,3,4,1770,24,18,110
Miguel Ángel Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaizka Campos Bahillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Rebollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordi Masip,0.00,0.00,0.00,0.00,,,,,,540,1054,1,174,365,7,0.20,0.00,0,0,2,4,0,0,0,0,2795,0,0,169
Víctor Ruiz,0.00,0.04,0.04,0.00,0,0.32,0.05,0,0,1038,1211,6,765,267,18,0.82,0.14,35,20,23,182,50,43,19,14,5679,29,35,234
Geovanni Barba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Lainez,0.00,0.00,0.00,0.00,0,1.55,0.52,0,0,89,119,4,77,8,4,1.03,0.00,7,5,10,66,15,9,0,17,1615,8,3,15
Iñigo Vicente,0.00,0.00,0.00,0.00,0,3.10,0.00,,0,,,,,,,,,,1,,,,,,,,0,,
Asier Villalibre,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,13,22,1,10,2,0,0.00,0.00,0,0,0,7,2,0,0,0,102,2,6,3
Paul Akouokou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés Guardado,0.00,0.13,0.13,0.00,0,0.53,0.18,0,0,876,1041,13,638,225,55,2.42,0.22,31,18,44,367,86,31,5,18,4780,36,14,204
Iñigo Córdoba,0.06,0.25,0.31,0.06,1,1.56,0.50,0,0,316,458,14,271,31,32,2.00,0.37,26,14,52,396,104,39,1,17,2334,26,17,106
Martín Montoya,0.00,0.05,0.05,0.00,0,0.38,0.14,0,0,1006,1255,10,828,168,37,1.76,0.14,49,28,50,375,92,41,6,19,4903,27,27,161
Álex Berenguer,0.00,0.00,0.00,0.00,0,1.37,1.37,0,0,31,46,1,26,4,2,1.37,0.69,0,0,4,40,4,5,1,2,424,2,1,8
Yeray Álvarez,0.00,0.00,0.00,0.00,0,0.38,0.06,0,0,1149,1403,11,719,419,18,0.58,0.03,39,25,31,222,79,58,23,11,6375,18,88,326
Oihan Sancet,0.00,0.00,0.00,0.00,0,0.81,0.00,0,0,25,43,0,22,3,2,1.62,0.81,1,1,3,24,7,0,0,1,293,4,2,10
Mikel Vesga,0.00,0.07,0.07,0.00,0,0.99,0.21,0,0,449,573,11,341,97,18,1.28,0.21,34,23,53,340,83,28,6,8,2258,27,37,173
Iker Muniain,0.19,0.08,0.26,0.19,5,1.06,0.49,1,0,903,1093,28,706,169,76,2.87,0.26,34,23,25,333,88,17,0,54,6193,28,8,165
Jon Morcillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Balenziaga,0.00,0.00,0.00,0.00,0,0.48,0.00,0,0,188,258,2,152,34,2,0.32,0.00,11,5,8,83,23,17,3,1,775,6,11,64
Óscar de Marcos,0.00,0.17,0.17,0.00,0,0.17,0.00,0,0,168,228,3,144,21,11,1.83,0.17,5,0,5,72,11,13,0,2,935,9,7,40
Unai López,0.05,0.20,0.25,0.05,1,1.41,0.45,5,0,1004,1210,25,685,294,47,2.37,0.25,38,27,42,339,101,19,2,19,5010,37,24,212
Iñaki Williams,0.18,0.03,0.18,0.15,6,1.38,0.64,0,1,510,710,20,424,66,80,2.45,0.28,17,13,20,404,116,14,2,50,5784,30,48,119
Unai Núñez,0.00,0.00,0.00,0.00,0,0.46,0.17,0,0,587,682,2,322,263,5,0.29,0.06,13,10,18,112,38,30,17,6,2854,17,52,146
Yuri Berchiche,0.06,0.03,0.09,0.06,2,1.11,0.28,0,0,1351,1695,20,1067,264,55,1.74,0.09,50,31,45,408,135,75,5,47,8623,33,49,320
Unai Simón,0.00,0.00,0.00,0.00,,,,,,650,1107,1,189,460,4,0.12,0.00,0,0,1,4,1,1,0,0,3008,2,0,161
Andoni Zubiaurre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raúl García,0.47,0.03,0.28,0.25,15,2.35,0.85,0,7,557,952,18,462,77,43,1.35,0.13,65,37,75,734,199,56,9,8,2981,78,186,196
Dani García,0.00,0.03,0.03,0.00,0,0.42,0.00,0,0,1225,1471,20,840,365,23,0.68,0.03,74,43,79,501,155,52,7,9,4174,61,52,455
Ander Capa,0.09,0.13,0.22,0.09,3,0.53,0.22,0,0,1188,1598,13,987,188,48,1.50,0.19,58,32,55,438,113,56,6,52,6938,46,43,301
Joseba Zaldúa,0.00,0.07,0.07,0.00,1,0.21,0.08,0,0,957,1234,8,793,156,39,1.64,0.17,42,22,40,261,76,33,2,18,5576,33,36,178
Jon Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martín Merquelanz,0.50,0.30,0.66,0.36,15,2.06,0.86,,4,,,,,,,,,,17,,,,,,,,27,,
Jon Guridi,,,,,3,0.90,0.36,,0,,,,,,,,,,37,,,,,,,,37,,
Jérémy Blasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aritz Arambarri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urko González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modibo Sagnan,0.00,0.00,0.00,0.00,0,0.00,0.00,,0,,,,,,,,,,0,,,,,,,,0,,
Julen Lobete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Bautista,0.15,0.10,0.25,0.15,3,1.53,0.00,0,0,6,15,0,5,1,1,1.53,0.00,2,2,1,14,3,1,1,0,106,2,4,2
Miguel Ángel Moyá,0.00,0.00,0.00,0.00,,,,,,292,362,0,105,187,0,0.00,0.00,0,0,1,0,0,0,0,1,839,0,0,50
Willian José,0.49,0.04,0.54,0.49,11,2.60,0.85,2,0,406,565,15,322,69,45,2.01,0.18,3,3,7,188,66,16,6,9,2339,27,27,87
Maranhão,0.00,0.00,0.00,0.00,0,1.20,0.00,,0,,,,,,,,,,0,,,,,,,,5,,
Shon Weissman,0.00,0.00,0.00,0.00,0,1.16,1.16,,0,,,,,,,,,,0,,,,,,,,2,,
José Campaña,0.06,0.20,0.26,0.06,2,1.25,0.23,5,0,1650,2121,33,1299,318,131,3.74,0.34,39,25,65,598,156,51,8,53,10941,28,33,344
Fernando Pacheco,0.00,0.00,0.00,0.00,,,,,,471,814,1,103,367,4,0.15,0.00,0,0,3,2,1,0,0,0,2099,1,0,140
Javi Moyano,0.00,0.00,0.00,0.00,0,0.24,0.00,0,0,777,1057,12,642,123,31,1.25,0.04,29,15,14,202,56,41,7,19,3049,22,42,245
Jawad El Yamiq,0.00,0.00,0.00,0.00,0,0.91,0.00,0,0,33,50,0,18,15,0,0.00,0.00,2,3,0,7,4,1,1,0,114,3,6,18
Luis Pérez,0.00,0.12,0.12,0.00,0,0.00,0.00,,0,,,,,,,,,,7,,,,,,,,1,,
Kike Pérez,0.00,0.00,0.00,0.00,0,0.66,0.33,0,0,100,128,2,72,26,3,0.99,0.66,11,7,11,80,28,8,0,3,558,9,9,36
Joaquín Fernández,0.11,0.00,0.11,0.11,2,0.54,0.22,0,0,609,748,13,410,186,14,0.76,0.11,37,23,33,272,74,33,10,8,2249,32,45,179
Toni Villa,0.00,0.07,0.07,0.00,0,1.26,0.40,0,0,331,466,4,268,59,30,1.99,0.20,25,21,45,313,82,24,1,40,4605,14,6,124
Pablo Hervías,0.09,0.00,0.09,0.09,1,1.68,0.80,9,0,280,402,9,234,37,29,2.57,0.18,27,18,26,222,69,13,0,29,4599,9,8,94
Waldo Rubio,0.00,0.21,0.21,0.00,0,1.74,0.41,0,0,188,299,2,154,32,33,3.38,0.31,15,9,30,171,40,12,1,20,2603,19,4,66
Raúl García,0.00,0.09,0.09,0.00,0,0.71,0.27,1,0,310,454,2,246,62,16,1.42,0.27,20,13,27,146,45,24,2,3,1686,7,14,79
Javi Sánchez,0.00,0.18,0.18,0.00,0,0.54,0.00,0,0,157,197,2,92,63,4,0.72,0.18,10,6,7,39,14,9,2,1,906,7,9,43
Míchel,0.04,0.08,0.08,0.00,1,0.45,0.08,2,1,1096,1404,26,734,336,57,2.36,0.21,47,32,69,525,131,35,5,18,4874,35,16,282
Nacho,0.00,0.10,0.10,0.00,0,0.48,0.10,1,0,822,1133,8,637,177,45,2.14,0.24,51,28,49,298,96,51,10,13,3742,28,9,181
Óscar Plano,0.14,0.07,0.22,0.14,4,1.44,0.47,0,0,529,740,13,417,99,42,1.51,0.11,51,32,50,426,125,62,3,11,4136,46,26,204
Sergi Guardiola,0.27,0.07,0.34,0.27,8,1.83,0.64,3,0,455,668,19,383,53,50,1.69,0.20,19,11,21,553,99,35,0,36,4695,52,27,118
Roberto,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,113,232,1,38,74,0,0.00,0.00,0,0,0,0,0,0,0,0,589,0,0,51
Aitor Ruibal,0.00,0.00,0.00,0.00,0,1.67,1.67,0,0,22,27,0,21,1,0,0.00,0.00,0,0,0,10,3,1,0,2,131,1,1,6
Loren Morón,0.44,0.13,0.58,0.44,10,2.17,0.80,0,0,217,309,18,172,27,33,1.46,0.22,15,10,16,373,90,31,8,20,2192,24,30,76
Fabián Orellana,0.30,0.26,0.41,0.15,8,1.43,0.60,1,4,771,1062,14,600,157,95,3.58,0.49,34,21,53,382,101,26,1,70,7781,21,14,169
Bruno González,0.00,0.00,0.00,0.00,0,0.20,0.00,0,0,170,201,2,99,69,3,0.59,0.20,7,4,4,42,19,7,3,0,719,3,7,47
Borja Iglesias,0.14,0.09,0.23,0.14,3,1.64,0.56,0,0,238,319,27,180,31,27,1.26,0.19,5,5,10,287,56,15,6,17,1679,34,35,67
Juanmi,0.34,0.00,0.34,0.34,1,2.39,1.02,0,0,46,57,4,38,4,2,0.68,0.00,5,4,3,49,13,2,0,1,305,2,4,12
Cristian Tello,0.23,0.00,0.23,0.23,2,2.17,0.69,2,0,285,377,9,228,48,20,2.29,0.00,10,7,11,102,28,7,0,12,2258,8,3,57
Sidnei,0.08,0.00,0.08,0.08,1,0.38,0.15,0,0,778,855,15,542,221,7,0.54,0.08,20,13,9,129,54,23,12,7,3458,8,27,130
Claudio Bravo,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,101,132,0,60,41,0,0.00,0.00,0,0,0,0,0,0,0,1,283,0,0,11
Joel Robles,0.00,0.00,0.00,0.00,,,,,,847,1152,5,474,368,3,0.09,0.00,0,0,2,4,0,0,0,0,2489,1,0,166
Joaquín,0.35,0.13,0.39,0.26,8,1.40,0.48,5,2,935,1163,32,767,136,108,4.72,0.44,17,11,13,221,59,36,3,58,6570,11,16,121
Antonio Sanabria,0.39,0.13,0.52,0.39,6,2.66,1.30,2,0,290,379,13,231,46,35,2.27,0.32,13,10,11,308,80,14,1,25,3030,24,37,66
Sergio Canales,0.17,0.17,0.26,0.09,6,1.34,0.40,4,3,1865,2221,44,1410,411,138,3.93,0.40,30,25,37,379,85,44,3,48,13275,27,6,233
Guido Rodríguez,0.10,0.00,0.10,0.10,1,1.15,0.29,0,0,179,213,2,131,46,6,1.33,0.00,14,21,10,99,32,13,2,5,540,16,4,41
Álex Moreno,0.00,0.16,0.16,0.00,0,0.99,0.32,0,0,1009,1285,33,830,146,58,2.30,0.20,40,24,35,376,108,47,8,48,7542,31,19,206
Emerson,0.10,0.19,0.29,0.10,3,0.73,0.13,0,0,1288,1604,37,1045,206,57,1.81,0.25,83,45,73,469,118,57,9,21,7272,46,65,236
Aïssa Mandi,0.00,0.00,0.00,0.00,0,0.35,0.10,0,0,1626,1778,18,1086,522,17,0.59,0.03,33,16,33,175,54,46,19,6,6560,29,53,231
Gerónimo Rulli,0.00,0.00,0.00,0.00,,,,,,779,1056,1,387,391,3,0.11,0.00,0,0,3,3,0,2,0,0,2609,1,0,136
Nabil Fekir,0.24,0.14,0.34,0.20,7,3.45,1.36,8,1,839,1034,27,673,139,111,3.79,0.38,43,26,31,598,146,36,5,84,9024,69,26,158
William Carvalho,0.00,0.00,0.00,0.00,0,0.61,0.20,0,0,564,634,14,422,128,13,1.31,0.10,10,7,12,105,28,13,5,15,2355,17,17,84
José Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
