name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Andriy Lunin,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,
Víctor Chust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,125,156,0,60,65,0,0.00,0.00,0,0,0,1,0,0,0,0,564,0,0,13
Diego Altube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Espino,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Yassine Bounou,,,,,0,0.00,0.00,0,0,62,73,0,43,19,0,0.00,0.00,0,0,0,0,0,0,0,1,211,0,0,10
Sergio Arribas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jokin Ezkieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iñigo Lekue,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,9,13,0,5,4,0,0.00,0.00,0,0,0,3,1,0,0,1,62,1,0,2
Jorge de Frutos,0.00,0.00,0.00,0.00,0,0.00,0.00,,0,,,,,,,,,,1,,,,,,,,1,,
Kenan Kodro,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,1,1,0,1,0,0,0.00,0.00,0,0,0,2,0,0,0,0,0,1,0,0
Oier Zarraga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Vencedor Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aitor Paredes Casamichana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio León,0.00,0.00,0.00,0.00,0,3.05,0.00,0,0,7,9,0,7,0,3,4.58,0.00,0,0,1,6,1,0,0,2,76,1,2,0
Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toño,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,34,42,0,31,3,0,0.00,0.00,0,0,0,11,1,0,0,0,178,1,0,4
Rober,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,43,48,1,26,16,0,0.00,0.00,0,0,0,7,0,2,1,0,157,1,3,13
Sergio Postigo,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,69,85,1,39,29,0,0.00,0.00,2,1,3,15,5,4,2,2,235,2,3,25
Mickael Malsa,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Roger Martí,0.95,0.95,1.89,0.95,1,0.95,0.95,0,0,9,20,0,6,3,1,0.95,0.95,1,1,1,15,3,0,0,0,92,1,1,4
Nemanja Radoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Óscar Duarte,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,58,70,1,39,18,2,1.03,0.00,0,0,2,16,3,1,1,0,269,5,4,10
Pablo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Cárdenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koke Vegas,,,,,,,,,,43,63,0,30,13,0,0.00,0.00,0,0,1,1,0,0,0,0,105,0,0,10
Dani Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Sivera,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,
Adrián Marín,,,,,0,0.32,0.00,0,0,253,355,2,204,47,11,1.16,0.00,19,6,6,87,22,23,4,8,1238,25,8,69
Hernâni Fortes,,,,,2,3.03,1.24,,0,,,,,,,,,,3,,,,,,,,5,,
Aritz Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coke,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,1,1,0,1,0,0,0.00,0.00,0,0,0,0,0,0,0,0,1,0,0,0
Pepe Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgui,,,,,0,0.00,0.00,,0,,,,,,,,,,0,,,,,,,,0,,
Jorge Miramón,0.00,0.33,0.33,0.00,0,1.33,0.00,0,0,123,167,1,101,21,6,1.99,0.33,7,4,10,33,12,9,0,2,566,4,6,31
