name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Martin Agirregabiria,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,2,2,0,2,0,0,0.00,0.00,0,0,0,1,1,0,0,0,0,0,0,0
Nikola Vukčević,0.00,0.00,0.00,0.00,0,0.72,0.00,0,0,90,108,1,72,17,2,0.72,0.00,5,1,5,42,11,3,2,0,336,6,8,23
Gonzalo Melero,0.36,0.00,0.36,0.36,1,1.08,0.36,0,0,120,127,2,103,15,7,2.52,0.00,3,3,5,39,11,5,0,4,528,5,0,14
Rúben Vezo,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,97,127,0,61,36,3,1.00,0.33,5,2,1,17,2,7,1,1,657,2,3,25
Carlos Clerc,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Aitor Fernández,0.00,0.00,0.00,0.00,,,,,,88,128,6,56,26,0,0.00,0.00,0,0,0,2,1,0,0,0,255,0,0,20
Sergi García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Luis Morales,0.85,0.28,1.13,0.85,3,2.83,1.13,0,0,49,79,0,41,8,9,2.55,0.85,0,0,3,61,13,3,0,5,812,2,3,15
Enis Bardhi,0.00,0.00,0.00,0.00,0,2.71,2.11,0,0,93,136,1,78,14,8,2.41,0.00,5,3,7,71,18,7,0,6,747,10,0,30
Manu García,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,17,22,0,13,4,0,0.00,0.00,1,1,2,5,3,1,1,0,83,0,1,5
Javi López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdallahi Mahmoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Guidetti,0.00,0.00,0.00,0.00,0,3.21,0.00,,0,,,,,,,,,,0,,,,,,,,0,,
Borja Sainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Rioja,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Rodrigo Ely,0.53,0.00,0.53,0.53,1,0.53,0.53,0,0,52,65,1,24,27,1,0.53,0.00,2,1,1,8,6,1,0,0,94,3,7,19
Lucas Pérez,0.00,0.43,0.43,0.00,0,1.29,0.86,0,0,42,69,1,31,10,6,2.58,0.43,1,1,0,34,10,1,1,3,436,1,1,14
Tomás Pina Isla,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,34,44,1,30,3,1,0.55,0.00,1,1,0,22,6,5,0,0,122,7,5,17
Florian Lejeune,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Ximo Navarro,0.00,0.00,0.00,0.00,0,0.57,0.29,0,0,102,137,1,71,30,2,0.57,0.00,8,6,10,47,13,5,1,2,481,6,5,37
Deyverson,0.00,0.30,0.30,0.00,0,1.18,0.00,,0,,,,,,,,,,2,,,,,,,,3,,
Édgar Méndez,0.21,0.00,0.21,0.21,1,1.27,0.42,,0,,,,,,,,,,4,,,,,,,,8,,
Joselu,0.25,0.00,0.25,0.25,1,2.25,0.75,1,0,75,136,2,56,17,6,1.50,0.00,3,3,2,58,18,6,2,9,400,7,32,25
Oriol Rey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Víctor Laguardia,0.00,0.00,0.00,0.00,0,0.43,0.22,0,0,99,144,1,47,51,1,0.22,0.00,2,1,4,39,13,10,1,0,288,5,10,52
Rodrigo Battaglia,0.00,0.00,0.00,0.00,0,0.41,0.21,,0,,,,,,,,,,6,,,,,,,,4,,
Rubén Duarte,0.00,0.00,0.00,0.00,0,0.47,0.00,0,0,162,244,1,128,33,8,1.87,0.23,14,9,4,75,28,13,0,1,639,10,14,55
Sergio López Galache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luismi,,,,,0,0.00,0.00,,0,,,,,,,,,,2,,,,,,,,2,,
Pere Pons,0.00,0.00,0.00,0.00,0,0.20,0.00,0,0,107,139,5,88,14,8,1.60,0.20,12,6,5,90,25,8,0,2,458,9,7,49
Miguel Ángel Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaizka Campos Bahillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Rebollo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordi Masip,0.00,0.00,0.00,0.00,,,,,,22,42,0,7,15,0,0.00,0.00,0,0,0,0,0,0,0,0,102,0,0,7
Víctor Ruiz,,,,,0,0.40,0.18,,0,,,,,,,,,,10,,,,,,,,28,,
Geovanni Barba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Lainez,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,3,3,0,1,2,1,90.00,90.00,0,0,0,0,0,0,0,0,8,0,0,0
Iñigo Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asier Villalibre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Akouokou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrés Guardado,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,1,1,0,1,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0
Iñigo Córdoba,0.00,0.00,0.00,0.00,0,1.43,0.00,0,0,11,28,2,8,1,0,0.00,0.00,0,0,1,9,4,0,0,0,75,2,2,9
Martín Montoya,0.00,0.00,0.00,0.00,0,4.09,0.00,0,0,7,8,0,7,0,0,0.00,0.00,2,0,2,9,0,0,0,0,35,0,2,3
Álex Berenguer,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,8,10,1,5,2,1,6.92,0.00,2,1,0,6,3,1,0,1,95,0,0,0
Yeray Álvarez,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,63,70,0,47,16,0,0.00,0.00,0,0,0,10,2,0,0,0,473,0,3,15
Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Vesga,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,20,31,0,10,10,0,0.00,0.00,3,3,2,13,4,0,0,0,106,2,3,14
Iker Muniain,0.00,0.00,0.00,0.00,0,0.36,0.36,0,0,93,115,1,76,16,7,2.53,0.00,3,1,3,44,13,1,0,0,518,2,4,21
Jon Morcillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Balenziaga,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,56,73,0,47,9,1,0.68,0.00,2,0,0,15,5,4,0,0,209,2,1,15
Óscar de Marcos,0.00,0.00,0.00,0.00,0,1.00,1.00,0,0,31,49,0,29,2,0,0.00,0.00,2,2,2,11,4,2,0,0,176,0,0,7
Unai López,0.62,0.00,0.62,0.62,2,1.24,0.93,0,0,161,208,3,115,43,7,2.16,0.00,7,5,5,47,19,5,0,0,868,1,2,37
Iñaki Williams,0.00,0.35,0.35,0.00,0,1.74,0.00,0,0,31,48,4,26,1,2,0.70,0.35,2,1,0,27,11,0,0,3,225,4,4,0
Unai Núñez,0.00,0.00,0.00,0.00,0,1.00,0.33,0,0,143,165,0,75,68,3,1.00,0.00,3,2,3,18,11,1,1,1,653,5,12,46
Yuri Berchiche,0.00,0.00,0.00,0.00,0,1.18,0.39,0,0,122,153,3,83,36,5,1.97,0.00,4,3,4,32,15,2,0,3,708,4,4,35
Unai Simón,0.00,0.00,0.00,0.00,,,,,,93,145,1,32,60,1,0.25,0.00,0,0,1,2,1,0,0,0,452,0,0,33
Andoni Zubiaurre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raúl García,0.00,0.00,0.00,0.00,0,2.63,0.53,0,0,54,117,4,36,14,3,0.79,0.00,4,2,1,51,17,13,0,0,231,8,39,31
Dani García,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,139,183,3,85,51,4,1.07,0.00,4,3,9,51,21,7,0,1,700,3,11,58
Ander Capa,0.00,0.28,0.28,0.00,0,0.56,0.28,0,0,143,196,2,114,27,8,2.25,0.28,4,2,7,41,17,7,0,4,817,3,6,45
Joseba Zaldúa,,,,,0,0.28,0.07,0,0,1227,1560,18,1015,194,31,1.10,0.28,62,39,64,309,81,56,8,17,5276,41,77,258
Jon Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martín Merquelanz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Guridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jérémy Blasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aritz Arambarri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urko González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modibo Sagnan,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Julen Lobete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Bautista,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Miguel Ángel Moyá,,,,,,,,,,363,458,1,189,173,0,0.00,0.00,0,0,1,2,1,0,0,2,1002,0,0,70
Willian José,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,4,4,1,3,0,0,0.00,0.00,0,0,0,2,0,0,0,0,28,0,0,0
Maranhão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shon Weissman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Campaña,0.00,0.25,0.25,0.00,0,1.50,0.75,0,0,168,224,3,125,40,9,2.25,0.50,5,4,4,59,12,2,0,20,1345,5,2,33
Fernando Pacheco,0.00,0.00,0.00,0.00,,,,,,99,144,2,34,63,0,0.00,0.00,0,0,0,0,0,0,0,0,293,0,0,20
Javi Moyano,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,28,41,0,20,8,0,0.00,0.00,0,0,3,8,1,2,0,0,74,0,3,9
Jawad El Yamiq,0.00,0.00,0.00,0.00,0,0.96,0.00,,0,,,,,,,,,,1,,,,,,,,2,,
Luis Pérez,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquín Fernández,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,41,47,0,26,15,0,0.00,0.00,1,0,0,5,2,1,1,0,134,1,6,12
Toni Villa,0.54,0.00,0.54,0.54,1,1.08,0.54,0,0,40,51,0,33,7,10,5.42,0.00,2,2,7,41,14,4,0,6,461,4,0,12
Pablo Hervías,0.00,0.00,0.00,0.00,0,0.89,0.00,1,0,78,109,0,62,16,8,3.56,0.00,8,5,8,37,12,3,0,2,904,3,0,15
Waldo Rubio,0.00,0.00,0.00,0.00,0,2.73,0.45,0,0,44,59,1,29,14,3,1.36,0.00,2,2,5,46,11,6,0,0,379,3,0,19
Raúl García,0.00,0.00,0.00,0.00,0,0.61,0.61,0,0,51,75,2,41,8,2,1.22,0.00,4,0,7,30,5,4,1,1,270,2,4,16
Javi Sánchez,0.00,0.00,0.00,0.00,0,0.30,0.00,0,0,83,106,0,39,44,2,0.60,0.00,6,2,2,23,3,7,3,1,490,4,4,19
Míchel,0.45,0.00,0.45,0.45,1,0.45,0.45,0,0,71,100,1,45,25,5,2.25,0.00,1,1,5,42,7,4,0,1,382,4,1,24
Nacho,0.00,0.25,0.25,0.00,0,0.75,0.25,2,0,154,218,1,113,40,10,2.50,0.25,3,2,11,58,19,6,0,2,652,3,1,42
Óscar Plano,0.00,0.00,0.00,0.00,0,1.09,0.00,0,0,64,78,4,55,5,7,2.54,0.00,6,4,5,38,8,9,0,1,339,3,6,14
Sergi Guardiola,0.26,0.26,0.26,0.00,1,2.05,0.26,1,1,59,89,1,51,7,7,1.79,0.51,0,0,3,68,19,2,1,6,486,7,10,19
Roberto,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,71,125,0,20,51,0,0.00,0.00,0,0,1,0,0,0,0,0,155,0,0,21
Aitor Ruibal,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Loren Morón,0.00,0.00,0.00,0.00,0,2.43,0.00,0,0,2,6,0,2,0,0,0.00,0.00,0,0,1,11,3,1,0,0,21,0,1,2
Fabián Orellana,0.00,0.00,0.00,0.00,0,1.24,0.99,0,0,103,152,1,78,24,13,3.22,0.00,5,1,6,57,9,7,0,3,790,2,2,27
Bruno González,0.00,0.00,0.00,0.00,0,0.75,0.25,0,0,86,111,0,46,40,1,0.25,0.00,6,4,5,46,14,6,2,2,373,6,9,42
Borja Iglesias,0.00,0.00,0.00,0.00,0,0.86,0.00,0,0,27,37,1,23,3,4,1.72,0.00,0,0,2,31,6,0,0,0,123,7,2,6
Juanmi,0.00,0.00,0.00,0.00,0,1.10,0.00,0,0,25,34,1,22,2,0,0.00,0.00,2,2,2,21,7,1,0,0,126,1,1,6
Cristian Tello,1.02,0.00,1.02,1.02,2,3.07,1.02,0,0,71,82,1,61,9,9,4.60,0.00,5,5,9,44,10,6,0,1,431,3,1,14
Sidnei,0.00,0.00,0.00,0.00,0,0.50,0.00,0,0,120,127,2,74,44,0,0.00,0.00,6,2,2,16,4,2,1,0,487,1,4,24
Claudio Bravo,,,,,0,0.00,0.00,0,0,28,54,0,11,17,0,0.00,0.00,0,0,0,0,0,0,0,0,101,0,0,10
Joel Robles,0.00,0.00,0.00,0.00,,,,,,63,98,0,30,33,1,0.33,0.00,0,0,0,0,0,0,0,0,222,0,0,16
Joaquín,0.00,0.65,0.65,0.00,0,0.97,0.65,0,0,143,182,3,113,27,15,4.87,0.65,2,1,4,26,7,5,0,5,889,2,3,17
Antonio Sanabria,0.00,0.00,0.00,0.00,0,2.57,1.47,0,0,46,58,2,37,7,3,1.10,0.00,2,1,2,47,8,2,0,4,392,6,8,11
Sergio Canales,0.20,0.40,0.60,0.20,1,2.00,0.60,3,0,263,327,6,193,64,29,5.80,1.00,2,2,5,61,21,6,0,9,1595,4,3,32
Guido Rodríguez,0.00,0.00,0.00,0.00,0,1.11,0.00,,0,,,,,,,,,,9,,,,,,,,8,,
Álex Moreno,0.00,0.00,0.00,0.00,0,0.60,0.20,0,0,253,323,5,211,37,5,1.00,0.00,10,4,11,74,20,5,3,4,1083,5,7,75
Emerson,0.00,0.00,0.00,0.00,0,0.27,0.00,0,0,207,257,3,184,20,12,3.21,0.00,14,8,13,65,19,8,2,2,677,7,4,38
Aïssa Mandi,0.26,0.00,0.26,0.26,1,0.26,0.26,0,0,187,212,1,106,80,4,1.02,0.00,6,6,3,35,15,8,3,0,553,4,13,43
Gerónimo Rulli,,,,,,,,,,673,883,0,277,396,7,0.28,0.04,0,0,1,2,0,1,0,0,2156,2,0,141
Nabil Fekir,0.24,0.47,0.47,0.00,1,3.08,0.71,1,1,143,166,6,121,16,18,4.26,0.24,6,6,3,97,24,5,0,10,1116,14,4,24
William Carvalho,0.55,0.00,0.55,0.55,2,1.91,1.09,0,0,198,237,1,169,28,3,0.82,0.00,5,4,3,38,11,0,0,5,637,2,6,35
José Cabrera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Baena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Niño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quini,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Dani Raba,,,,,4,2.01,0.87,,1,,,,,,,,,,17,,,,,,,,30,,
Aarón Escandell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Paulo Santos Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Ontiveros,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Igor Zubeldia,0.00,0.00,0.00,0.00,0,1.00,0.00,0,0,39,46,0,26,13,0,0.00,0.00,2,1,0,10,2,2,0,1,172,2,2,8
Antonio Cortés,,,,,1,4.50,4.50,,0,,,,,,,,,,1,,,,,,,,0,,
Luis Javier Suárez,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Yan Brice Eteki,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Roberto López,1.58,0.00,1.58,1.58,2,3.95,1.58,2,0,44,68,2,34,8,1,0.79,0.00,3,2,1,13,4,1,0,0,128,0,4,18
Iñigo Martínez,0.00,0.00,0.00,0.00,0,0.50,0.25,0,0,179,228,1,99,79,2,0.50,0.00,5,2,1,34,13,4,0,1,1153,8,20,54
Martín Zubimendi,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,82,89,2,60,20,3,1.61,0.54,3,3,0,20,8,2,0,0,492,5,4,18
Ander Guevara,0.00,0.00,0.00,0.00,0,0.45,0.00,0,0,101,124,1,77,23,2,0.91,0.00,6,4,4,25,10,2,0,0,449,2,6,30
Ander Barrenetxea,0.00,0.00,0.00,0.00,0,1.14,0.38,0,0,50,71,3,40,7,6,2.28,0.38,5,4,2,43,14,8,0,8,656,8,3,18
Adnan Januzaj,0.76,0.00,0.00,0.00,1,3.78,1.51,2,1,49,69,3,39,7,9,6.81,0.76,3,1,2,17,4,0,0,7,472,0,1,8
Diego Llorente,,,,,0,0.00,0.00,0,0,48,54,0,31,17,0,0.00,0.00,1,0,1,7,2,1,1,0,246,2,2,6
Aihen Muñoz,0.00,0.00,0.00,0.00,0,1.00,0.33,0,0,94,138,0,74,20,1,0.33,0.00,7,5,6,28,9,7,1,5,381,5,3,34
Nacho Monreal,0.00,0.00,0.00,0.00,0,0.50,0.00,0,0,95,120,2,75,18,0,0.00,0.00,2,0,1,16,8,1,1,1,209,1,6,22
Andoni Gorosabel,0.00,0.00,0.00,0.00,0,0.42,0.00,0,0,199,259,4,167,28,15,3.12,0.21,13,8,15,61,15,5,1,3,969,9,2,39
Mikel Oyarzabal,0.32,0.32,0.32,0.00,1,2.57,0.32,0,1,97,138,2,74,21,12,3.86,0.96,7,6,9,57,22,4,0,5,570,4,1,21
Robin Le Normand,0.00,0.00,0.00,0.00,0,0.75,0.25,0,0,180,205,3,107,70,0,0.00,0.00,4,2,1,20,5,6,2,0,749,6,18,46
David Silva,0.00,0.00,0.00,0.00,0,1.42,0.00,1,0,135,155,3,103,29,13,4.61,0.35,4,3,3,41,14,4,0,1,571,8,4,29
Alexander Isak,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Portu,0.50,0.00,0.50,0.50,2,0.75,0.50,0,0,56,92,5,47,4,11,2.75,0.50,4,2,1,42,9,3,0,4,513,7,5,20
Aimar Oroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorka Zabarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Merino,0.20,0.40,0.60,0.20,1,2.00,0.80,0,0,184,255,6,149,29,10,2.00,0.40,12,9,8,75,27,11,3,6,899,16,27,57
Álex Remiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javi Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubén,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofian Chakla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asier Córdoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Cardona,0.00,0.00,0.00,0.00,0,1.70,1.70,0,0,17,28,1,16,0,0,0.00,0.00,0,0,1,9,2,1,0,1,74,3,0,7
Fede San Emeterio,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Marc Bartra,0.00,0.00,0.00,0.00,0,0.80,0.60,0,0,196,242,3,138,55,2,0.40,0.00,8,5,7,69,21,10,2,3,641,12,14,55
Takefusa Kubo,0.00,0.00,0.00,0.00,0,6.10,4.58,,0,,,,,,,,,,1,,,,,,,,2,,
Carlos Bacca,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,6,8,0,4,2,1,6.00,0.00,0,0,0,4,1,0,0,0,17,1,1,0
Ramiro Funes Mori,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,7,7,0,4,3,0,0.00,0.00,0,0,0,1,0,0,0,0,31,0,1,4
Jaume Costa,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,6,11,0,4,2,0,0.00,0.00,0,0,0,0,0,0,0,1,88,0,0,3
Rubén Peña,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,48,63,0,45,3,0,0.00,0.00,2,1,2,12,2,3,0,2,303,1,0,9
Alfonso Pedraza,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,77,92,0,66,11,4,2.45,0.00,1,1,2,9,5,6,0,0,534,2,4,17
Manu Trigueros,0.00,0.00,0.00,0.00,0,0.86,0.00,0,0,118,142,2,97,19,1,0.43,0.00,9,8,8,42,14,2,1,3,540,5,1,17
Samuel Chukwueze,0.00,0.33,0.33,0.00,0,1.64,0.00,0,0,80,113,3,61,16,8,2.63,0.33,7,2,4,39,10,0,0,5,988,2,4,23
Vicente Iborra,0.00,0.00,0.00,0.00,0,0.66,0.00,0,0,168,185,1,117,50,3,0.99,0.00,2,2,4,30,7,4,3,1,575,6,6,25
Pervis Estupiñán,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Mario Gaspar,0.00,0.24,0.24,0.00,0,0.96,0.48,0,0,193,224,1,156,36,7,1.68,0.48,7,2,11,48,12,11,1,2,853,4,6,24
Francis Coquelin,0.00,0.00,0.00,0.00,0,1.01,0.00,0,0,90,102,1,73,16,3,1.52,0.00,6,5,4,26,13,4,1,3,357,3,3,22
Pau Torres,0.00,0.00,0.00,0.00,0,,,,0,,,,,,,,,,,,,,,,,,,,
Paco Alcácer,0.75,0.00,0.75,0.75,3,2.01,1.25,0,0,45,66,1,36,8,2,0.50,0.25,1,1,1,26,9,2,0,1,201,1,2,15
Raúl Albiol,0.00,0.00,0.00,0.00,0,0.21,0.00,0,0,248,289,0,141,107,3,0.63,0.00,1,1,3,23,12,6,2,2,1548,1,7,42
Gerard Moreno,0.62,0.21,0.41,0.21,3,2.69,1.03,0,2,135,204,3,103,29,11,2.28,0.41,5,3,12,47,12,6,0,15,996,7,13,25
Arnau Tenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moi Gómez,0.00,0.00,0.00,0.00,0,0.20,0.00,0,0,170,221,2,132,36,12,2.45,0.20,5,4,7,59,19,8,0,9,1087,0,1,27
Riqui Puig,,,,,0,1.24,0.71,,0,,,,,,,,,,6,,,,,,,,9,,
Iñaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Firpo,,,,,1,0.36,0.09,0,0,749,834,18,669,62,15,1.33,0.27,24,14,21,124,30,26,2,11,3417,35,10,81
