name,goals_per90,assists_per90,goals_assists_pens_per90,goals_pens_per90,goals,shots_total_per90,shots_on_target_per90,shots_free_kicks,pens_made,passes_completed,passes,passes_completed_short,passes_completed_medium,passes_completed_long,sca,sca_per90,gca_per90,tackles,tackles_won,dribbles_vs,pressures,pressure_regains,blocks,blocked_shots,dribbles_completed,carry_distance,fouls,aerials_won,ball_recoveries
Andriy Lunin,0.00,0.00,0.00,0.00,,,,,,84,122,0,19,65,0,0.00,0.00,0,0,0,0,0,1,0,0,249,0,0,21
Víctor Chust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,0.00,0.00,0.00,0.00,0,0.04,0.00,0,0,643,831,2,321,320,2,0.07,0.00,0,0,3,3,0,0,0,1,2317,0,0,118
Diego Altube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfonso Espino,0.00,0.21,0.21,0.00,0,0.49,0.09,0,0,105,146,3,76,26,4,0.80,0.00,11,82,15,87,23,15,0,3,470,58,3,45
Yassine Bounou,0.00,0.18,0.18,0.00,0,0.03,0.00,0,0,641,963,3,237,401,0,0.00,0.00,0,0,2,6,1,0,0,1,2402,0,1,133
Sergio Arribas,0.00,0.00,0.00,0.00,,,,,,2,2,2,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,23,0,0,0
Jokin Ezkieta,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Iñigo Lekue,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0,90,119,2,74,14,4,1.71,0.85,4,4,3,28,8,6,0,3,542,1,4,20
Jorge de Frutos,0.00,0.00,0.00,0.00,0,1.53,0.00,0,0,15,17,0,13,2,1,1.53,0.00,2,0,2,17,2,1,0,0,81,2,0,6
Kenan Kodro,0.56,0.00,0.56,0.56,1,2.24,0.56,0,0,38,45,2,32,4,3,1.68,0.56,3,2,2,34,13,1,0,1,211,5,5,5
Oier Zarraga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
